TWEETID,TWEET,TIMESTAMP,AUTHOR,LAT,LONG,URL,inlon,inlat,inokc
339134999485898000,"Moore Water Tower -- Life Is Good in Moore, Oklahoma! http://t.co/QBlndmWuv6",5/27/13 21:44,CulinaryClutz,35.3343,-97.4769,http://instagram.com/p/Z1KTftGeSx/,TRUE,TRUE,TRUE
339139728286834000,It's really cool to see how the OKLAHOMA has locked arms to help out people in need.  Had a great day‰Û_ http://t.co/LYAjaSaWMp,5/27/13 22:03,markiemark61474,35.1912,-97.4413,http://instagram.com/p/Z1Ly-KxFt0/,TRUE,TRUE,TRUE
339195392694558000,Pretty colors in OKC http://t.co/p07TYA9ESJ,5/28/13 1:44,Wuvement,35.4931,-97.4591,http://instagram.com/p/Z1mCZWNwak/,TRUE,TRUE,TRUE
339197306115072000,One last Oklahoma sunset before I embark on my 17 day journey overseas. I will continue to pray for‰Û_ http://t.co/2bqt3w9cUw,5/28/13 1:51,emilytweets13,35.3956,-97.5969,http://instagram.com/p/Z1mlIZvKjS/,TRUE,TRUE,TRUE
339142898740252000,Best I can do for Exotic locale this Memorial Day.  Lake Hefner ala OKC @ Stars & Stripes Park http://t.co/iZBAC0VgVn,5/27/13 22:15,ThomCollins,35.551,-97.5831,http://instagram.com/p/Z1N8KZRZHy/,TRUE,TRUE,TRUE
339199705680605000,Obama making his way into Moore/OKC.. http://t.co/QjFQG9wB7z,5/28/13 2:01,Luv_Jessica12,35.3343,-97.4769,http://instagram.com/p/Z1n8OcuPy2/,TRUE,TRUE,TRUE
339199499471831000,Impromptu shopping spree during Responsibility Day...for it!!!  Love my new necklace!!! #oklahoma‰Û_ http://t.co/6WC0gKf76v,5/28/13 2:00,4oh5fox,35.1912,-97.4413,http://instagram.com/p/Z1nkbDLwOM/,TRUE,TRUE,TRUE
339202813798268000,#memorialday #okc @ Lake Hefner http://t.co/jsXspA80vV,5/28/13 2:13,john_the_knight,35.4931,-97.4591,http://instagram.com/p/Z1pEC9sB-2/,TRUE,TRUE,TRUE
339202894593150000,Strange looking cloud in the sunset. #sunset #sky #clouds #sun #Oklahoma http://t.co/eMtizMwfTl,5/28/13 2:14,misscrystaljane,35.6532,-97.4815,http://instagram.com/p/Z1pOQNJ1a3/,TRUE,TRUE,TRUE
339207299677687000,Oklahoma Strong ? #DontHateMyGuns  #Tattoo http://t.co/wTDClCE1Sf,5/28/13 2:31,ItsTaraBishh,35.4931,-97.4591,http://instagram.com/p/Z1rb6xIPFJ/,TRUE,TRUE,TRUE
339207569761521000,"Severe weather possible Wednesday-Friday, seasonable temps. Here's your OKC Bedtime Forecast. http://t.co/gvLDjaUG72",5/28/13 2:32,QuietStormOKC,35.4845,-97.3874,http://instagram.com/p/Z1rN8GKT6e/,TRUE,TRUE,TRUE
339207586492579000,"Severe weather possible Wednesday-Friday, seasonable temps. Here's your OKC Bedtime Forecast. http://t.co/Mn9thOdScz",5/28/13 2:32,WeatherCenterOK,35.4845,-97.3874,http://instagram.com/p/Z1rN8GKT6e/,TRUE,TRUE,TRUE
339208368814161000,#loud #local #okc #like #Longboradlife #smoke #Swagg #Smokedout #basedlife #bored #basedout #blunt‰Û_ http://t.co/tGDWXjxmTB,5/28/13 2:35,BrazySo,35.4931,-97.4591,http://instagram.com/p/Z1rnQ7KcPD/,TRUE,TRUE,TRUE
339207647054147000,Oklahoma skies???? #nofilter http://t.co/JQY8UkH7Id,5/28/13 2:32,jaycee_claire,35.5224,-97.7602,http://instagram.com/p/Z1roFhDlFD/,TRUE,TRUE,TRUE
339208712667414000,You never know what #Oklahoma is going to show you with the #clouds. #sunset #colors #storm http://t.co/ZYn2nC4cvH,5/28/13 2:37,AllStarAspieMom,35.5224,-97.7602,http://instagram.com/p/Z1rohgjuHD/,TRUE,TRUE,TRUE
339153295903961000,Oklahoma City Memorial @ Oklahoma City National Memorial & Museum http://t.co/YELGDQbl7G,5/27/13 22:57,bishopcj,35.473,-97.5171,http://instagram.com/p/Z1S4Ezlb0N/,TRUE,TRUE,TRUE
339208927499653000,Abolitionists cleaning up after the tornado in Moore Oklahoma. Thanks Jason and Tiffany Stover‰Û_ http://t.co/kTskKYG08f,5/28/13 2:38,NormanAbolition,35.1912,-97.4413,http://instagram.com/p/Z1sFYXTRTw/,TRUE,TRUE,TRUE
339212805557338000,Homie don't play. #Oklahoma #moore http://t.co/GMk8USA3LM,5/28/13 2:53,exodus195,35.4931,-97.4591,http://instagram.com/p/Z1t9Utyvpy/,TRUE,TRUE,TRUE
339153896574443000,The 'Survivor Tree' at the Oklahoma City Memorial. It was absolutely humbling to visit this place. @‰Û_ http://t.co/u8al1cv1rG,5/27/13 22:59,bishopcj,35.473,-97.5171,http://instagram.com/p/Z1TC24lb0k/,TRUE,TRUE,TRUE
339154234756976000,Carter Sampson & band @ Mission Chinese OKC Pop-Up http://t.co/Z8qJ9xcvSQ,5/27/13 23:00,MyJRNY,35.4653,-97.5166,http://instagram.com/p/Z1TR_gvHK0/,TRUE,TRUE,TRUE
339158107664044000,So impressed by all the folks who pulled this off! #okchefsrelief #OKC @ OK Chefs Relief Pop-Up‰Û_ http://t.co/1Z5AVW6P6H,5/27/13 23:16,KeepItLocalOK,35.4652,-97.5168,http://instagram.com/p/Z1U3G3hnwm/,TRUE,TRUE,TRUE
339162279960522000,RT @KeepItLocalOK: So impressed by all the folks who pulled this off! #okchefsrelief #OKC @ OK Chefs Relief Pop-Up‰Û_ http://t.co/1Z5AVW6P6H,5/27/13 23:32,JenniferAMiller,35.6532,-97.4815,http://instagram.com/p/Z1U3G3hnwm/,TRUE,TRUE,TRUE
339187485940789000,RT @KeepItLocalOK: So impressed by all the folks who pulled this off! #okchefsrelief #OKC @ OK Chefs Relief Pop-Up‰Û_ http://t.co/1Z5AVW6P6H,5/28/13 1:12,supercaonguyen,35.4931,-97.4591,http://instagram.com/p/Z1U3G3hnwm/,TRUE,TRUE,TRUE
